Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,12.0,13.0,14.0,15.0,16.0,16.0,17.0,18.0,19.0,22.0,26.0,26.0,27.0,27.0,29.0,29.0
         Workers' Compensation,9.0,9.0,10.0,11.0,11.0,12.0,14.0,15.0,17.0,19.0,21.0,23.0,25.0,30.0,33.0,36.0,40.0,42.0,45.0,51.0,55.0,59.0,67.0,78.0,91.0,106.0,125.0,144.0,172.0,208.0,245.0,271.0,287.0,290.0,276.0,290.0,317.0,357.0,413.0,500.0,567.0,662.0,708.0,756.0,777.0,790.0,737.0,758.0,805.0,797.0,794.0,793.0,754.0,750.0,813.0,820.0
         General Assistance,4.0,4.0,3.0,4.0,4.0,4.0,8.0,15.0,27.0,27.0,29.0,31.0,35.0,39.0,43.0,53.0,60.0,63.0,65.0,109.0,141.0,167.0,191.0,221.0,270.0,366.0,481.0,542.0,640.0,779.0,929.0,924.0,927.0,904.0,985.0,1027.0,1045.0,1107.0,1253.0,1365.0,1646.0,1983.0,2311.0,2726.0,2801.0,2974.0,3163.0,2858.0,2680.0,2570.0,2454.0,1799.0,1398.0,1240.0,1057.0,1057.0
         Maternal/Child Health,1.0,1.0,2.0,2.0,3.0,3.0,5.0,6.0,8.0,9.0,8.0,9.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,16.0,16.0,16.0,18.0,17.0,20.0,21.0,23.0,24.0,26.0,27.0,30.0,32.0,33.0,34.0,36.0,39.0,44.0,47.0,55.0,62.0,68.0,73.0,77.0,79.0,78.0,79.0,85.0,89.0,84.0,80.0,76.0,69.0,70.0,76.0,78.0
                          Federal  ,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,7.0,5.0,7.0,8.0,7.0,8.0,9.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,13.0,11.0,13.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0,18.0,19.0,19.0,20.0,22.0,23.0,27.0,29.0,31.0,34.0,35.0,35.0,35.0,35.0,35.0,34.0,33.0,32.0,31.0,29.0,28.0,30.0,31.0
                          State and Local,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,10.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,19.0,22.0,24.0,29.0,33.0,36.0,39.0,42.0,43.0,43.0,44.0,50.0,56.0,51.0,48.0,45.0,40.0,42.0,46.0,47.0
         Vocational Rehabilitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Federal Programs*,28.0,36.0,44.0,53.0,53.0,53.0,38.0,20.0,17.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,130.0,316.0,306.0,39.0,0.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other State and Local Programs**,26.0,30.0,34.0,38.0,53.0,68.0,38.0,13.0,13.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,103.0,205.0,219.0,300.0,417.0,495.0,563.0,644.0,739.0,871.0,969.0,1036.0,1107.0,1236.0,1408.0,1611.0,1669.0,1907.0,2221.0,2353.0,3030.0,3471.0,3916.0,4222.0,5262.0,6274.0,7176.0,8093.0,9123.0,10422.0,11835.0,13481.0,15639.0,18739.0,22168.0,26230.0,30596.0,35656.0,40146.0,41514.0,59724.0,65281.0,71032.0,76246.0,80765.0,85685.0,90644.0,97965.0,114111.0,127380.0
Total Durable Medical Equipment Expenditures,740.0,765.0,910.0,901.0,1004.0,1105.0,1242.0,1128.0,1317.0,1512.0,1747.0,1799.0,2032.0,2247.0,2506.0,2801.0,2987.0,3205.0,3447.0,3781.0,4054.0,4330.0,4570.0,5250.0,6142.0,7056.0,8067.0,9466.0,11078.0,11887.0,13767.0,13081.0,13498.0,14140.0,15318.0,15860.0,17432.0,19218.0,21358.0,23022.0,25165.0,25135.0,27131.0,28512.0,30370.0,32364.0,34409.0,37073.0,37678.0,37813.0,39925.0,42259.0,43679.0,45062.0,46622.0,48458.0
     Out of pocket,686.0,707.0,843.0,833.0,928.0,1021.0,1130.0,990.0,1149.0,1299.0,1503.0,1532.0,1721.0,1889.0,2062.0,2259.0,2390.0,2507.0,2629.0,2794.0,2964.0,3087.0,3159.0,3576.0,4236.0,4901.0,5626.0,6654.0,7834.0,8184.0,9494.0,8579.0,8543.0,8669.0,9266.0,9081.0,10029.0,11110.0,12948.0,13980.0,15094.0,14066.0,14638.0,14934.0,15935.0,16815.0,17487.0,18938.0,18195.0,18050.0,19524.0,21288.0,21978.0,23013.0,23084.0,23322.0
     Health Insurance,40.0,40.0,49.0,50.0,55.0,62.0,85.0,108.0,130.0,169.0,197.0,213.0,254.0,297.0,374.0,464.0,516.0,612.0,724.0,885.0,984.0,1137.0,1300.0,1547.0,1758.0,1980.0,2236.0,2573.0,2966.0,3383.0,3906.0,4143.0,4590.0,5108.0,5688.0,6426.0,7036.0,7712.0,7975.0,8565.0,9562.0,10554.0,11966.0,13053.0,13897.0,15017.0,16403.0,17579.0,18673.0,18955.0,19575.0,20114.0,20840.0,21165.0,22681.0,24287.0
          Private Health Insurance,40.0,40.0,49.0,50.0,55.0,62.0,75.0,82.0,91.0,113.0,133.0,151.0,186.0,210.0,252.0,306.0,334.0,397.0,459.0,553.0,568.0,572.0,566.0,619.0,708.0,790.0,873.0,1002.0,1226.0,1343.0,1523.0,1391.0,1357.0,1449.0,1644.0,1731.0,1970.0,2261.0,2766.0,3168.0,3620.0,3564.0,3911.0,4201.0,4713.0,5221.0,5694.0,6460.0,6494.0,6812.0,7071.0,7392.0,7312.0,7542.0,8257.0,8987.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,21.0,25.0,28.0,35.0,42.0,51.0,71.0,94.0,115.0,148.0,198.0,247.0,326.0,447.0,573.0,748.0,865.0,973.0,1106.0,1268.0,1380.0,1556.0,1801.0,2031.0,2344.0,2597.0,2769.0,3169.0,3411.0,3836.0,3644.0,3750.0,4065.0,4479.0,5273.0,6021.0,6231.0,6435.0,6886.0,7017.0,7892.0,7488.0,7501.0,7521.0,8063.0,7773.0,7756.0,7852.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,18.0,32.0,35.0,27.0,26.0,36.0,51.0,65.0,68.0,66.0,67.0,86.0,90.0,118.0,160.0,181.0,185.0,217.0,256.0,303.0,360.0,484.0,583.0,721.0,889.0,1062.0,1276.0,1526.0,1655.0,1615.0,1560.0,1616.0,1835.0,2467.0,2709.0,2767.0,2896.0,3295.0,3761.0,4015.0,4202.0,4579.0,4916.0,5097.0,5345.0,5717.0,6545.0,7314.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,18.0,20.0,15.0,15.0,21.0,28.0,36.0,35.0,36.0,37.0,47.0,51.0,67.0,90.0,102.0,104.0,123.0,146.0,173.0,202.0,277.0,333.0,428.0,534.0,635.0,762.0,898.0,978.0,949.0,910.0,956.0,1080.0,1454.0,1596.0,1734.0,1763.0,1947.0,2194.0,2353.0,2537.0,3111.0,3462.0,3247.0,3221.0,3452.0,4226.0,4851.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,14.0,14.0,12.0,11.0,15.0,22.0,28.0,33.0,30.0,29.0,39.0,40.0,52.0,71.0,79.0,81.0,95.0,110.0,130.0,158.0,207.0,250.0,294.0,355.0,427.0,514.0,629.0,677.0,666.0,650.0,660.0,754.0,1013.0,1113.0,1034.0,1133.0,1348.0,1566.0,1662.0,1665.0,1468.0,1454.0,1850.0,2124.0,2265.0,2319.0,2462.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,43.0,44.0,73.0,64.0,58.0,65.0,62.0,86.0,85.0,76.0,88.0,104.0,119.0,133.0,124.0,134.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,29.0,32.0,51.0,46.0,42.0,48.0,45.0,62.0,63.0,56.0,64.0,76.0,87.0,96.0,91.0,104.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,13.0,12.0,21.0,18.0,15.0,18.0,17.0,24.0,22.0,20.0,24.0,28.0,33.0,37.0,33.0,30.0
         Department of Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Department of Veterans Affairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
     Other Third Party Payers and Programs,15.0,17.0,18.0,19.0,20.0,22.0,27.0,31.0,37.0,44.0,48.0,54.0,57.0,61.0,71.0,77.0,80.0,86.0,93.0,102.0,105.0,106.0,111.0,127.0,148.0,175.0,205.0,239.0,279.0,320.0,367.0,360.0,365.0,363.0,364.0,354.0,368.0,396.0,435.0,476.0,509.0,515.0,527.0,526.0,538.0,532.0,519.0,557.0,810.0,808.0,826.0,858.0,861.0,884.0,857.0,849.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0
         Workers' Compensation,9.0,9.0,10.0,11.0,11.0,12.0,14.0,15.0,17.0,19.0,21.0,23.0,25.0,30.0,34.0,39.0,42.0,45.0,48.0,55.0,56.0,58.0,62.0,72.0,87.0,105.0,127.0,155.0,189.0,216.0,254.0,243.0,251.0,252.0,242.0,234.0,247.0,269.0,303.0,335.0,359.0,365.0,368.0,363.0,365.0,360.0,342.0,362.0,614.0,603.0,613.0,645.0,642.0,665.0,667.0,665.0
         General Assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,8.0,5.0,5.0,17.0,21.0,22.0,13.0,10.0,12.0,9.0,8.0,6.0,6.0,12.0,14.0,13.0,18.0,21.0,32.0,31.0,31.0,40.0,36.0,43.0,42.0,30.0,24.0,25.0,24.0,21.0
         Maternal/Child Health,2.0,3.0,3.0,4.0,4.0,4.0,5.0,7.0,10.0,12.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0,22.0,21.0,23.0,24.0,29.0,32.0,37.0,40.0,40.0,42.0,41.0,43.0,44.0,47.0,46.0,49.0,53.0,56.0,60.0,64.0,61.0,63.0,62.0,60.0,59.0,57.0,64.0,68.0,66.0,66.0,64.0,60.0,62.0,62.0,61.0
                          Federal  ,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,6.0,7.0,9.0,8.0,9.0,10.0,11.0,12.0,12.0,13.0,13.0,12.0,11.0,12.0,11.0,14.0,14.0,16.0,17.0,17.0,18.0,16.0,17.0,17.0,17.0,16.0,17.0,17.0,18.0,19.0,20.0,18.0,19.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0
                          State and Local,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,9.0,10.0,10.0,10.0,11.0,13.0,15.0,18.0,21.0,23.0,23.0,25.0,25.0,26.0,27.0,29.0,29.0,32.0,36.0,38.0,41.0,44.0,43.0,44.0,44.0,43.0,42.0,41.0,48.0,52.0,50.0,50.0,48.0,44.0,47.0,47.0,46.0
         Vocational Rehabilitation,4.0,4.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,12.0,15.0,17.0,17.0,17.0,20.0,21.0,19.0,21.0,23.0,24.0,24.0,24.0,25.0,28.0,30.0,32.0,34.0,38.0,40.0,42.0,45.0,48.0,51.0,51.0,57.0,59.0,58.0,61.0,62.0,63.0,65.0,70.0,71.0,72.0,73.0,75.0,80.0,83.0,83.0,87.0,94.0,93.0,89.0,88.0,88.0,89.0
                          Federal  ,2.0,2.0,2.0,3.0,3.0,3.0,5.0,6.0,7.0,9.0,12.0,13.0,13.0,13.0,15.0,16.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,21.0,23.0,24.0,26.0,29.0,31.0,32.0,34.0,37.0,39.0,38.0,43.0,44.0,43.0,46.0,47.0,48.0,49.0,53.0,54.0,56.0,57.0,58.0,60.0,62.0,63.0,67.0,73.0,73.0,69.0,68.0,68.0,69.0
                          State and Local,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,20.0,21.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0
         Other Federal Programs*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,33.0,4.0,0.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other State and Local Programs**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,39.0,57.0,63.0,62.0,68.0,87.0,122.0,159.0,183.0,214.0,265.0,333.0,416.0,565.0,733.0,929.0,1050.0,1190.0,1362.0,1571.0,1740.0,2040.0,2384.0,2752.0,3233.0,3659.0,4045.0,4695.0,5066.0,5451.0,5208.0,5396.0,5943.0,6990.0,8055.0,8852.0,9185.0,9795.0,10709.0,11118.0,12179.0,12143.0,12505.0,12722.0,13527.0,13623.0,14425.0,15300.0
Total Nursing Care Facilities and Continuing Care Retirement Communities,811.0,841.0,876.0,1009.0,1168.0,1408.0,1732.0,2234.0,2851.0,3411.0,4034.0,4551.0,5227.0,5974.0,6928.0,8022.0,9057.0,10259.0,11845.0,13344.0,15270.0,17336.0,19478.0,21676.0,23713.0,26199.0,28642.0,30646.0,34225.0,38553.0,44745.0,49212.0,52848.0,55797.0,58385.0,64185.0,69235.0,74088.0,79106.0,80605.0,85045.0,90778.0,94500.0,100105.0,105086.0,111436.0,115929.0,124936.0,130303.0,134885.0,139980.0,145046.0,147370.0,149218.0,152635.0,156798.0
     Out of pocket,603.0,576.0,524.0,589.0,662.0,787.0,1041.0,1048.0,1467.0,1778.0,1984.0,2121.0,2476.0,2846.0,2866.0,3171.0,3708.0,4307.0,4902.0,5315.0,6191.0,6861.0,8094.0,9154.0,9831.0,10998.0,11914.0,12169.0,13976.0,14848.0,18010.0,18347.0,18477.0,18376.0,17653.0,19576.0,19320.0,20642.0,24923.0,25967.0,27127.0,27583.0,27900.0,30268.0,31180.0,32507.0,33580.0,36457.0,37341.0,36771.0,37152.0,36806.0,39093.0,39411.0,39672.0,40076.0
     Health Insurance,0.0,0.0,0.0,0.0,0.0,9.0,225.0,852.0,990.0,1038.0,1151.0,1583.0,2336.0,2648.0,3520.0,4244.0,4669.0,5216.0,6079.0,7056.0,7918.0,9147.0,9791.0,10668.0,11814.0,12811.0,14053.0,15599.0,16802.0,19834.0,21913.0,25608.0,28686.0,31360.0,35206.0,38218.0,43449.0,46359.0,47789.0,48089.0,52044.0,57690.0,60949.0,63631.0,67430.0,71796.0,74727.0,79189.0,84576.0,89347.0,93275.0,98774.0,97691.0,99024.0,101760.0,105723.0
          Private Health Insurance,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,9.0,12.0,17.0,23.0,28.0,38.0,54.0,74.0,103.0,136.0,192.0,260.0,374.0,517.0,682.0,938.0,1246.0,1570.0,1929.0,2176.0,2783.0,2970.0,3114.0,3213.0,4085.0,5482.0,6383.0,6705.0,7367.0,7720.0,7454.0,7727.0,8168.0,7447.0,6745.0,7139.0,7989.0,8719.0,9282.0,9815.0,10626.0,10911.0,11526.0,11653.0,12258.0,13416.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,244.0,216.0,143.0,121.0,120.0,165.0,200.0,220.0,260.0,267.0,268.0,283.0,307.0,337.0,367.0,392.0,423.0,454.0,458.0,499.0,732.0,2503.0,1700.0,1962.0,2888.0,3963.0,5603.0,6690.0,9475.0,11234.0,11401.0,9460.0,10822.0,13338.0,15026.0,15773.0,18260.0,20537.0,22358.0,24839.0,27606.0,30141.0,32291.0,35866.0,33998.0,34741.0,35624.0,37629.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,204.0,628.0,706.0,771.0,940.0,1367.0,2099.0,2338.0,3149.0,3810.0,4129.0,4646.0,5421.0,6327.0,7055.0,8138.0,8567.0,9204.0,10053.0,10695.0,11538.0,12656.0,13223.0,14229.0,16433.0,19563.0,21480.0,22838.0,24038.0,24516.0,25978.0,26803.0,27334.0,29129.0,31882.0,34571.0,35561.0,37872.0,39760.0,41341.0,41563.0,42341.0,44039.0,45483.0,46307.0,47683.0,47764.0,48129.0,49138.0,49686.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,98.0,304.0,366.0,425.0,505.0,779.0,1140.0,1226.0,1775.0,2094.0,2448.0,2619.0,3007.0,3587.0,3984.0,4558.0,4776.0,5110.0,5547.0,5882.0,6371.0,6985.0,7410.0,8008.0,9247.0,10866.0,12239.0,13121.0,13515.0,13683.0,14596.0,14917.0,15230.0,16396.0,18526.0,21234.0,21568.0,22203.0,23047.0,23353.0,23445.0,23898.0,25852.0,30314.0,31397.0,29009.0,27314.0,27514.0,28143.0,28558.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,105.0,324.0,340.0,346.0,436.0,588.0,959.0,1112.0,1374.0,1716.0,1681.0,2026.0,2414.0,2740.0,3071.0,3580.0,3791.0,4094.0,4507.0,4813.0,5167.0,5670.0,5813.0,6221.0,7186.0,8697.0,9241.0,9717.0,10522.0,10833.0,11382.0,11886.0,12103.0,12733.0,13357.0,13338.0,13994.0,15669.0,16713.0,17987.0,18117.0,18443.0,18187.0,15169.0,14910.0,18673.0,20450.0,20616.0,20994.0,21128.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,9.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,7.0,8.0,11.0,10.0,8.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,7.0,7.0,6.0
